ID,"SKOS:prefLabel ""es""","skos:definition ""es""","SKOS:prefLabel ""en""","SKOS:altLabel ""en""",dc:source,"skos:definition ""en""",SKOS:ExactMatch,SKOS:CloseMatch,"skos:historyNote ""es""","skos:scopeNote ""es""",SKOS:broader,SKOS:narrower,owl:deprecated
SDN_A,Fenómeno del valor incierto (SDN),El fenómeno asociado al valor es incierto.,Value phenomenon uncertain (SDN),A,"Paris. Intergovernmental Oceanographic Commission of UNESCO. 2013.Ocean Data Standards, Vol.3: Recommendation for a Quality Flag Scheme for the Exchange of Oceanographic and Marine Meteorological Data. (IOC Manuals and Guides, 54, Vol. 3.) 12 pp. (English.)(IOC/2013/MG/54-3)",Value phenomenon uncertain,IODE_3,,,,QF_SDN,,FALSE
QF_GTSPP,Esquema de Banderas de Calidad GTSPP,Esquema de banderas de calidad utilizado por el Global Temperature and Salinity Profile Programme (GTSPP).,GTSPP Quality Flag Scheme,GTSPP,"Paris. Intergovernmental Oceanographic Commission of UNESCO. 2013.Ocean Data Standards, Vol.3: Recommendation for a Quality Flag Scheme for the Exchange of Oceanographic and Marine Meteorological Data. (IOC Manuals and Guides, 54, Vol. 3.) 12 pp. (English.)(IOC/2013/MG/54-3)",Quality flag scheme used by the Global Temperature and Salinity Profile Programme (GTSPP).,,,,,"GTSPP_0
GTSPP_1
GTSPP_2
GTSPP_3
GTSPP_4
GTSPP_5
GTSPP_9",,FALSE
GTSPP_0,Sin asignación de control de calidad (GTSPP),No se ha asignado un control de calidad.,No quality control has been assigned (GTSPP),0,"Paris. Intergovernmental Oceanographic Commission of UNESCO. 2013.Ocean Data Standards, Vol.3: Recommendation for a Quality Flag Scheme for the Exchange of Oceanographic and Marine Meteorological Data. (IOC Manuals and Guides, 54, Vol. 3.) 12 pp. (English.)(IOC/2013/MG/54-3)",No quality control has been assigned,IODE_2,,,,,QF_GTSPP,FALSE
GTSPP_1,Correcto (GTSPP),QC realizado; parece ser correcto.,Appears to be correct (GTSPP),1,"Paris. Intergovernmental Oceanographic Commission of UNESCO. 2013.Ocean Data Standards, Vol.3: Recommendation for a Quality Flag Scheme for the Exchange of Oceanographic and Marine Meteorological Data. (IOC Manuals and Guides, 54, Vol. 3.) 12 pp. (English.)(IOC/2013/MG/54-3)",QC was performed; appears to be correct,IODE_1,,,,,QF_GTSPP,FALSE
GTSPP_2,Probablemente bueno (GTSPP),QC realizado; probablemente bueno.,Probably good (GTSPP),2,"Paris. Intergovernmental Oceanographic Commission of UNESCO. 2013.Ocean Data Standards, Vol.3: Recommendation for a Quality Flag Scheme for the Exchange of Oceanographic and Marine Meteorological Data. (IOC Manuals and Guides, 54, Vol. 3.) 12 pp. (English.)(IOC/2013/MG/54-3)",QC was performed; probably good,IODE_1,,,,,QF_GTSPP,FALSE
GTSPP_3,Dudoso (GTSPP),QC realizado; parece dudoso.,Appears doubtful (GTSPP),3,"Paris. Intergovernmental Oceanographic Commission of UNESCO. 2013.Ocean Data Standards, Vol.3: Recommendation for a Quality Flag Scheme for the Exchange of Oceanographic and Marine Meteorological Data. (IOC Manuals and Guides, 54, Vol. 3.) 12 pp. (English.)(IOC/2013/MG/54-3)",QC performed; appears doubtful,IODE_3,,,,,QF_GTSPP,FALSE
GTSPP_4,Erróneo (GTSPP),QC realizado; parece erróneo.,Appears erroneous (GTSPP),4,"Paris. Intergovernmental Oceanographic Commission of UNESCO. 2013.Ocean Data Standards, Vol.3: Recommendation for a Quality Flag Scheme for the Exchange of Oceanographic and Marine Meteorological Data. (IOC Manuals and Guides, 54, Vol. 3.) 12 pp. (English.)(IOC/2013/MG/54-3)",QC performed; appears erroneous,IODE_4,,,,,QF_GTSPP,FALSE
GTSPP_5,Valor cambiado por QC (GTSPP),El valor fue cambiado como resultado del QC.,Value was changed as a result of QC (GTSPP),5,"Paris. Intergovernmental Oceanographic Commission of UNESCO. 2013.Ocean Data Standards, Vol.3: Recommendation for a Quality Flag Scheme for the Exchange of Oceanographic and Marine Meteorological Data. (IOC Manuals and Guides, 54, Vol. 3.) 12 pp. (English.)(IOC/2013/MG/54-3)",The value was changed as a result of QC,IODE_1,,,,,QF_GTSPP,FALSE
GTSPP_9,Valor faltante (GTSPP),El valor falta.,The value is missing (GTSPP),9,"Paris. Intergovernmental Oceanographic Commission of UNESCO. 2013.Ocean Data Standards, Vol.3: Recommendation for a Quality Flag Scheme for the Exchange of Oceanographic and Marine Meteorological Data. (IOC Manuals and Guides, 54, Vol. 3.) 12 pp. (English.)(IOC/2013/MG/54-3)",The value is missing,IODE_9,,,,,QF_GTSPP,FALSE
QF_WOCE,Esquema de Banderas de Calidad de Muestras de Agua WOCE,Esquema de banderas de calidad utilizado en el World Ocean Circulation Experiment (WOCE) para calificar mediciones de muestras de agua.,WOCE Water Sample Quality Flag Scheme,WOCE,"Paris. Intergovernmental Oceanographic Commission of UNESCO. 2013.Ocean Data Standards, Vol.3: Recommendation for a Quality Flag Scheme for the Exchange of Oceanographic and Marine Meteorological Data. (IOC Manuals and Guides, 54, Vol. 3.) 12 pp. (English.)(IOC/2013/MG/54-3)",Quality flag scheme used in the World Ocean Circulation Experiment (WOCE) to qualify water sample measurements.,,,,,,"WOCE_1
WOCE_2
WOCE_3
WOCE_4
WOCE_5
WOCE_6
WOCE_7
WOCE_8
WOCE_9",FALSE
WOCE_1,"Muestra extraída, análisis no recibido (WOCE)","La muestra para esta medición fue extraída de la botella, pero el análisis no se recibió. ","Sample drawn, analysis not received (WOCE)",1,"Paris. Intergovernmental Oceanographic Commission of UNESCO. 2013.Ocean Data Standards, Vol.3: Recommendation for a Quality Flag Scheme for the Exchange of Oceanographic and Marine Meteorological Data. (IOC Manuals and Guides, 54, Vol. 3.) 12 pp. (English.)(IOC/2013/MG/54-3)","Sample for this measurement was drawn from water bottle, but analysis not received",IODE_9,,,,QF_WOCE,,FALSE
WOCE_2,Medición aceptable (WOCE),Medición evaluada como aceptable. ,Acceptable measurement (WOCE),2,"Paris. Intergovernmental Oceanographic Commission of UNESCO. 2013.Ocean Data Standards, Vol.3: Recommendation for a Quality Flag Scheme for the Exchange of Oceanographic and Marine Meteorological Data. (IOC Manuals and Guides, 54, Vol. 3.) 12 pp. (English.)(IOC/2013/MG/54-3)",Acceptable measurement,IODE_1,,,,QF_WOCE,,FALSE
WOCE_3,Medición cuestionable (WOCE),Medición evaluada como cuestionable.,Questionable measurement (WOCE),3,"Paris. Intergovernmental Oceanographic Commission of UNESCO. 2013.Ocean Data Standards, Vol.3: Recommendation for a Quality Flag Scheme for the Exchange of Oceanographic and Marine Meteorological Data. (IOC Manuals and Guides, 54, Vol. 3.) 12 pp. (English.)(IOC/2013/MG/54-3)",Questionable measurement ,IODE_3,,,,QF_WOCE,,FALSE
WOCE_4,Medición mala (WOCE),Medición evaluada como mala. ,Bad measurement (WOCE),4,"Paris. Intergovernmental Oceanographic Commission of UNESCO. 2013.Ocean Data Standards, Vol.3: Recommendation for a Quality Flag Scheme for the Exchange of Oceanographic and Marine Meteorological Data. (IOC Manuals and Guides, 54, Vol. 3.) 12 pp. (English.)(IOC/2013/MG/54-3)",Bad measurement,IODE_4,,,,QF_WOCE,,FALSE
WOCE_5,Dato faltante por pérdida de muestra (WOCE),"Se esperaba medir el dato, pero la observación falta debido a pérdida de la muestra, contaminación, etc. ",Data missing due to sample loss (WOCE),5,"Paris. Intergovernmental Oceanographic Commission of UNESCO. 2013.Ocean Data Standards, Vol.3: Recommendation for a Quality Flag Scheme for the Exchange of Oceanographic and Marine Meteorological Data. (IOC Manuals and Guides, 54, Vol. 3.) 12 pp. (English.)(IOC/2013/MG/54-3)","Data were expected to be measured, but the observation is missing due to sample loss, contamination, etc. ",IODE_9,,,,QF_WOCE,,FALSE
WOCE_6,Media de mediciones replicadas (WOCE),El valor es la media de mediciones replicadas. ,Mean of replicate measurements (WOCE),6,"Paris. Intergovernmental Oceanographic Commission of UNESCO. 2013.Ocean Data Standards, Vol.3: Recommendation for a Quality Flag Scheme for the Exchange of Oceanographic and Marine Meteorological Data. (IOC Manuals and Guides, 54, Vol. 3.) 12 pp. (English.)(IOC/2013/MG/54-3)",Mean of replicate measurements,IODE_2,,,,QF_WOCE,,FALSE
WOCE_7,Medición manual de pico cromatográfico (WOCE),El valor proviene de una medición manual de un pico cromatográfico.,Manual chromatographic peak measurement (WOCE),7,"Paris. Intergovernmental Oceanographic Commission of UNESCO. 2013.Ocean Data Standards, Vol.3: Recommendation for a Quality Flag Scheme for the Exchange of Oceanographic and Marine Meteorological Data. (IOC Manuals and Guides, 54, Vol. 3.) 12 pp. (English.)(IOC/2013/MG/54-3)",Manual chromatographic peak measurement ,IODE_2,,,,QF_WOCE,,FALSE
WOCE_8,Integración irregular de pico cromatográfico (WOCE),El valor proviene de una integración digital irregular de un pico cromatográfico.,Irregular digital chromatographic peak integration (WOCE),8,"Paris. Intergovernmental Oceanographic Commission of UNESCO. 2013.Ocean Data Standards, Vol.3: Recommendation for a Quality Flag Scheme for the Exchange of Oceanographic and Marine Meteorological Data. (IOC Manuals and Guides, 54, Vol. 3.) 12 pp. (English.)(IOC/2013/MG/54-3)",Irregular digital chromatographic peak integration,IODE_2,,,,QF_WOCE,,FALSE
WOCE_9,Muestra no extraída (WOCE),No se extrajo una muestra para esta medición de esta botella. ,Sample not drawn (WOCE),9,"Paris. Intergovernmental Oceanographic Commission of UNESCO. 2013.Ocean Data Standards, Vol.3: Recommendation for a Quality Flag Scheme for the Exchange of Oceanographic and Marine Meteorological Data. (IOC Manuals and Guides, 54, Vol. 3.) 12 pp. (English.)(IOC/2013/MG/54-3)",Sample not drawn for this measurement from this bottle,IODE_9,,,,QF_WOCE,,FALSE
