ID,"SKOS:prefLabel ""es""","skos:definition ""es""","SKOS:prefLabel ""en""","SKOS:altLabel ""en""","skos:definition ""en""",dc:source,SKOS:ExactMatch,SKOS:CloseMatch,"skos:historyNote ""es""","skos:scopeNote ""es""",SKOS:broader,SKOS:narrower,owl:deprecated
PON,Nitrógeno Orgánico Particulado (NOP),La concentración de nitrógeno contenido en la materia orgánica particulada.,Particulate Organic Nitrogen (PON),PON,The concentration of nitrogen contained within particulate organic matter.,"Gabinete de oceanografía fisica, INIDEP.",https://vocab.nerc.ac.uk/collection/P01/current/NTOTZZZZ/,,,,PARTMATTER,,FALSE
POP,Fósforo Orgánico Particulado (FOP),La concentración de fósforo contenido en la materia orgánica particulada.,Particulate Organic Phosphorus (POP),POP,The concentration of phosphorus contained within particulate organic matter.,"Gabinete de oceanografía fisica, INIDEP.",,,,,PARTMATTER,,FALSE
PIC,Carbono Inorgánico Particulado (CIP),"La fracción del carbono inorgánico total que es retenida por un filtro, compuesta principalmente por carbonato de calcio (CaCO₃).",Particulate Inorganic Carbon (PIC),POC,"The fraction of total inorganic carbon that is retained by a filter, composed mainly of calcium carbonate (CaCO₃).","Gabinete de oceanografía fisica, INIDEP.",https://vocab.nerc.ac.uk/collection/P02/current/CING/,,,,PARTMATTER,,FALSE
TSM,Materia Total en Suspensión (MTS),"La masa total de material particulado (orgánico e inorgánico) suspendido en un volumen de agua, retenido por un filtro.",Total Suspended Matter (TSM),TSM,"The total mass of particulate material (organic and inorganic) suspended in a volume of water, as retained by a filter.","Gabinete de oceanografía fisica, INIDEP.",,,,,PARTMATTER,,FALSE
FLUXPOCR,Flujo de Carbono Orgánico Particulado,"La tasa a la que el carbono orgánico particulado se transporta verticalmente a través de una superficie en la columna de agua, a menudo medida con trampas de sedimento.",Particulate Organic Carbon Flux,,"The rate at which particulate organic carbon is vertically transported through a surface in the water column, often measured with sediment traps.","Gabinete de oceanografía fisica, INIDEP.",,,,,PARTMATTER,,FALSE
FLUXC,Flujo de Carbonato de Calcio,La tasa de transporte vertical de carbonato de calcio (CaCO₃) particulado a través de la columna de agua.,Calcium Carbonate (CaCO3) Flux,CaCO3,The rate of vertical transport of particulate calcium carbonate (CaCO₃) through the water column.,"Gabinete de oceanografía fisica, INIDEP.",https://vocab.nerc.ac.uk/collection/P01/current/CCFXICXX/,,,,PARTMATTER,,FALSE
FLUXBISI,Flujo de Sílice Biogénico,"La tasa de transporte vertical de sílice biogénico (SiB) particulado, como los frústulos de diatomeas, a través de la columna de agua.",Biogenic Silica (BSi) Flux,BSi,"The rate of vertical transport of particulate biogenic silica (BSi), such as diatom frustules, through the water column.","Gabinete de oceanografía fisica, INIDEP.",https://vocab.nerc.ac.uk/collection/P01/current/OPALWCZZ/,,,,PARTMATTER,,FALSE
CHL,Clorofila,Contenido de clorofila.,Chlorophyll,,Chlorophyll-a content.,"Gabinete de oceanografía fisica, INIDEP.","https://vocab.nerc.ac.uk/collection/P02/current/CPWC/
 https://gcmd.earthdata.nasa.gov/kms/concept/0f816677-9e94-4e3b-b409-513335769af8
 http://mmisw.org/ont/ioos/parameter/chlorophyll_flourescence","https://vocab.nerc.ac.uk/collection/P01/current/CHLTMASS/
 ",,,PARTMATTER,,FALSE
NITROUSOXIDE,Óxido nitroso,"Gas de efecto invernadero disuelto en el agua de mar, importante en los ciclos biogeoquímicos del nitrógeno y el carbono.",Nitrous oxide,,"A greenhouse gas dissolved in seawater, important in the biogeochemical cycles of nitrogen and carbon.","Gabinete de oceanografía fisica, INIDEP.",https://vocab.nerc.ac.uk/collection/P01/current/DN2OXX01/,,,,PARTMATTER,,FALSE
STABLEISOT,Isótopos Estables,"Variantes no radiactivas de elementos químicos (como Carbono, Nitrógeno, Oxígeno) cuya proporción se utiliza para rastrear procesos biogeoquímicos y redes tróficas.",Stable Isotopes,,"Non-radioactive variants of chemical elements (such as Carbon, Nitrogen, Oxygen) whose ratios are used to trace biogeochemical processes and food webs.","Gabinete de oceanografía fisica, INIDEP.",http://vocab.nerc.ac.uk/collection/P02/current/WSTB,,,,BGCMPARAM,D13CDIC,FALSE
D13CDIC,Razón isotópica δ¹³C del Carbono Inorgánico Disuelto,"La medida de la relación entre los isótopos estables ¹³C y ¹²C en la reserva de Carbono Inorgánico Disuelto (CID), expresada en notación delta (δ) en partes por mil (‰).",δ¹³C isotope ratio of Dissolved Inorganic Carbon,,"The measurement of the ratio of stable isotopes ¹³C to ¹²C in the Dissolved Inorganic Carbon (DIC) pool, expressed in delta (δ) notation in parts per thousand (‰).","Gabinete de oceanografía fisica, INIDEP.",,,,,STABLEISOT,,FALSE
DOC,Carbono Orgánico Disuelto,"La fracción del carbono orgánico que pasa a través de un filtro (generalmente de 0.2 a 0.7 micrómetros), representando una reserva de carbono fundamental en el océano.",Dissolved Organic Carbon (DOC),DOC,"The fraction of organic carbon that passes through a filter (typically 0.2 to 0.7 micrometers), representing a fundamental carbon reservoir in the ocean.","Gabinete de oceanografía fisica, INIDEP.",http://vocab.nerc.ac.uk/collection/P02/current/DOCC/,,,,BGCMPARAM,,FALSE
BIOPARAM,Parámetros Biológicos,"Variables que describen la biota presente en el ecosistema marino, incluyendo la abundancia, biomasa, composición y diversidad de organismos como el plancton, los peces y el bentos.",Biological Parameters,,"Variables that describe the biota present in the marine ecosystem, including the abundance, biomass, composition, and diversity of organisms such as plankton, fish, and benthos.","Gabinete de oceanografía fisica, INIDEP.",,,,,,"PHYTOPLANK
ZOOPLANK
FISH
SEATURTLE
SEABIRD
MARINEMAMMAL
CORAL
SEAGRASS
MACROALGAE
MANGROVE
MICROBE
BENTHOS",FALSE
PHYTOPLANK,Fitoplancton,Grupo de microorganismos fotosintéticos que forman la base de la mayoría de las redes tróficas acuáticas.,Phytoplankton,,Group of photosynthetic microorganisms that form the base of most aquatic food webs.,"Gabinete de oceanografía fisica, INIDEP.",,,,,BIOPARAM,,FALSE
ZOOPLANK,Zooplancton,"Grupo de pequeños animales acuáticos que se alimentan de fitoplancton y otras partículas, formando un eslabón clave en la red trófica marina.",Zooplankton,,"Group of small aquatic animals that feed on phytoplankton and other particles, forming a key link in the marine food web.","Gabinete de oceanografía fisica, INIDEP.",,,,,BIOPARAM,,FALSE
FISH,Peces,"Grupo de vertebrados acuáticos que son objeto de estudio en ecología, pesquerías y como indicadores de la salud del ecosistema.",Fish,,"Group of aquatic vertebrates that are the subject of study in ecology, fisheries, and as indicators of ecosystem health.","Gabinete de oceanografía fisica, INIDEP.",,,,,BIOPARAM,,FALSE
SEATURTLE,Tortugas Marinas,"Grupo de reptiles marinos migratorios, estudiados por su ecología, comportamiento y estado de conservación.",Sea Turtles,,"Group of migratory marine reptiles, studied for their ecology, behavior, and conservation status.","Gabinete de oceanografía fisica, INIDEP.",,,,,BIOPARAM,,FALSE
SEABIRD,Aves Marinas,"Grupo de aves adaptadas a la vida en el medio marino, utilizadas como indicadores de la productividad y salud del ecosistema oceánico.",Seabirds,,"Group of birds adapted to life in the marine environment, used as indicators of the productivity and health of the ocean ecosystem.","Gabinete de oceanografía fisica, INIDEP.",,,,,BIOPARAM,,FALSE
MARINEMAMMAL,Mamíferos Marinos,"Grupo de mamíferos adaptados a la vida acuática (ballenas, delfines, focas, etc.), estudiados por su rol en el ecosistema y su estado de conservación.",Marine Mammals,,"Group of mammals adapted to aquatic life (whales, dolphins, seals, etc.), studied for their role in the ecosystem and their conservation status.","Gabinete de oceanografía fisica, INIDEP.",,,,,BIOPARAM,,FALSE
CORAL,Corales,"Grupo de invertebrados bentónicos que forman arrecifes y estructuras complejas, creando hábitats de gran biodiversidad.",Corals,,"Group of benthic invertebrates that form reefs and complex structures, creating habitats of high biodiversity.","Gabinete de oceanografía fisica, INIDEP.",,,,,BIOPARAM,,FALSE
SEAGRASS,Pastos Marinos,"Grupo de plantas con flores (fanerógamas) que crecen en ambientes marinos someros, formando praderas que son hábitats importantes.",Seagrass,,"Group of flowering plants (phanerogams) that grow in shallow marine environments, forming important habitat meadows.","Gabinete de oceanografía fisica, INIDEP.",,,,,BIOPARAM,,FALSE
MACROALGAE,Macroalgas,Grupo de algas multicelulares de gran tamaño (visibles a simple vista) que habitan en el fondo marino.,Macroalgae,,"Group of large, multicellular algae (visible to the naked eye) that inhabit the seabed.","Gabinete de oceanografía fisica, INIDEP.",,,,,BIOPARAM,,FALSE
MANGROVE,Manglares,"Ecosistema de bosque costero formado por árboles (mangles) tolerantes a la sal, que crea un hábitat único en zonas tropicales y subtropicales.",Mangroves,,"Coastal forest ecosystem formed by salt-tolerant trees (mangroves), creating a unique habitat in tropical and subtropical zones.","Gabinete de oceanografía fisica, INIDEP.",,,,,BIOPARAM,,FALSE
MICROBE,Microbios,"Organismos microscópicos, incluyendo bacterias y arqueas, que son fundamentales en los ciclos biogeoquímicos marinos.",Microbes,,"Microscopic organisms, including bacteria and archaea, that are fundamental to marine biogeochemical cycles.","Gabinete de oceanografía fisica, INIDEP.",,,,,BIOPARAM,,FALSE
BENTHOS,Bentos,"Comunidad de organismos que viven en, sobre o cerca del fondo marino (bentos).",Benthos,,"Community of organisms that live in, on, or near the seabed (benthos).","Gabinete de oceanografía fisica, INIDEP.",,,,,BIOPARAM,,FALSE
