ID,"SKOS:prefLabel ""es""","skos:definition ""es""","SKOS:prefLabel ""en""","SKOS:altLabel ""en""","skos:definition ""en""",dc:source,SKOS:ExactMatch,SKOS:CloseMatch,"skos:historyNote ""es""","skos:scopeNote ""es""",SKOS:broader,SKOS:narrower,owl:deprecated
TSS,Materia Total en Suspensión,"Suma de todas las partículas, orgánicas e inorgánicas, suspendidas en el agua y que no están disueltas.",Total Suspended Matter,,"Sum of all suspended particles, both organic and inorganic, not dissolved in water.","Gabinete de oceanografía fisica, INIDEP.",,,,,PHYSPARAM,,FALSE
PAR,PAR,Radiación fotosintéticamente activa. Rango de la radiación solar (400 a 700 nm) disponible para la fotosíntesis.,PAR,,Photosynthetically active radiation. Solar radiation range (400 to 700 nm) available for photosynthesis.,"Gabinete de oceanografía fisica, INIDEP.","https://gcmd.earthdata.nasa.gov/kms/concept/b7410899-350a-4443-9430-c7fe1fa3a499
 https://vocab.nerc.ac.uk/collection/P07/current/5D73T768/
 http://vocab.aodn.org.au/def/parameter_classes/category/49
 https://earthportal.eu/ontologies/SWEET/Temperature","https://vocab.nerc.ac.uk/collection/P01/current/PPRDPICX/
 ",,,PHYSPARAM,,FALSE
WAVEPER,Periodo de ola,Tiempo que tardan las crestas de las olas sucesivas en pasar por un punto fijo.,Wave period,,Time taken for successive wave crests to pass a fixed point.,"Gabinete de oceanografía fisica, INIDEP.","https://vocab.nerc.ac.uk/collection/P01/current/GTAMZZ01/
 https://gcmd.earthdata.nasa.gov/kms/concept/99ea6719-b751-4a4f-95d4-aaa02e961bc1
 http://mmisw.org/ont/ioos/parameter/wave_period","https://vocab.nerc.ac.uk/collection/P02/current/WVST/
 https://vocab.nerc.ac.uk/collection/P07/current/60QCHKZK/",,,PHYSPARAM,,FALSE
PRES,Presión,Presión de la columna de agua.,Pressure,,Pressure of the water column.,"Gabinete de oceanografía fisica, INIDEP.","https://vocab.nerc.ac.uk/collection/P01/current/PRESPR01/ 
 https://gcmd.earthdata.nasa.gov/kms/concept/dd025312-0d27-44e0-ae05-7cfcc1aa17f0
 https://vocab.nerc.ac.uk/collection/P07/current/CFSN0330/
 http://mmisw.org/ont/ioos/parameter/water_pressure
 http://vocab.aodn.org.au/def/parameter_classes/category/25
 ",,,,PHYSPARAM,,FALSE
DEPTH,Profundidad,Profundidad de la columna de agua.,Depth,,Depth of the water column.,"Gabinete de oceanografía fisica, INIDEP.","https://vocab.nerc.ac.uk/collection/P01/current/MAXWDIST/
 https://vocab.nerc.ac.uk/collection/P07/current/CFSN0721/
 http://mmisw.org/ont/ioos/parameter/depth
 http://vocab.aodn.org.au/def/parameter_classes/category/58
 https://earthportal.eu/ontologies/SWEET/Depth",,,,PHYSPARAM,,FALSE
DEPTH_BOT,Profundidad del fondo,Profundidad del fondo marino respecto a la superficie.,Seafloor depth,,Depth of the seafloor relative to the surface.,"Gabinete de oceanografía fisica, INIDEP.",https://gcmd.earthdata.nasa.gov/kms/concept/ca477721-473b-40d7-a72b-4ffa963e48fb,,,,PHYSPARAM,,FALSE
SALNTY,Salinidad,Salinidad de la columna de agua.,Salinity,,Salinity of the water column.,"Gabinete de oceanografía fisica, INIDEP.","https://vocab.nerc.ac.uk/collection/P02/current/PSAL
 https://gcmd.earthdata.nasa.gov/kms/concept/7e95b5fc-1d58-431a-af36-948b29fa870d
https://gcmd.earthdata.nasa.gov/kms/concept/7e95b5fc-1d58-431a-af36-948b29fa870d
 https://vocab.nerc.ac.uk/collection/P07/current/CFSN0331/
 https://mmisw.org/ont/ioos/parameter/salinity
 http://vocab.aodn.org.au/def/parameter_classes/category/50
 https://earthportal.eu/ontologies/SWEET/Salinity",https://vocab.nerc.ac.uk/collection/P01/current/ODSDM021/,,,PHYSPARAM,,FALSE
TEMP,Temperatura,Temperatura de la columna de agua.,Temperature,,Temperature of the water column.,"Gabinete de oceanografía fisica, INIDEP.","https://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01/
 https://vocab.nerc.ac.uk/collection/P02/current/TEMP/
 https://gcmd.earthdata.nasa.gov/kms/concept/46206e8c-8def-406f-9e62-da4e74633a58
 https://vocab.nerc.ac.uk/collection/P07/current/CFSN0335/
 http://vocab.aodn.org.au/def/parameter_classes/category/49
 https://earthportal.eu/ontologies/SWEET/Temperature",,,,PHYSPARAM,,FALSE
TURBID,Turbidez,"Estimación del contenido de sedimentos suspendidos, basada en la proporción de luz reflejada hacia un receptor ubicado conjuntamente.",Turbidity,,"Estimate of suspended sediment content, based on the proportion of light reflected toward a co-located sensor.","Gabinete de oceanografía fisica, INIDEP.","
https://vocab.nerc.ac.uk/collection/P01/current/TURBXXXX/
 https://vocab.nerc.ac.uk/collection/P02/current/TSED/
 https://gcmd.earthdata.nasa.gov/kms/concept/f0d83687-bc0a-4491-bb3e-697f1018da13
 http://mmisw.org/ont/ioos/parameter/turbidityhttps://vocab.nerc.ac.uk/collection/P07/current/7B3X6L2J/https://gcmd.earthdata.nasa.gov/kms/concept/f0d83687-bc0a-4491-bb3e-697f1018da13
 http://vocab.aodn.org.au/def/parameter_classes/category/28
 https://earthportal.eu/ontologies/SWEET/Turbidity",,,,PHYSPARAM,,FALSE
CUR_U,U,Componente zonal (dirección este-oeste) de la velocidad de la corriente.,U,,Zonal (east-west) component of current velocity.,"Gabinete de oceanografía fisica, INIDEP.",https://vocab.nerc.ac.uk/collection/P01/current/LCEWZZ01/, https://vocab.nerc.ac.uk/collection/P07/current/CFSN0650/,,,PHYSPARAM,,FALSE
